(Kind,code,score,name,professor,week,start_time,end_time)
전선 > 데이터경영산업공학과,612503-01,3,비즈니스데이터분석,신기태,월,11:30:00,13:00:00
전선 > 데이터경영산업공학과,612503-01,3,비즈니스데이터분석,신기태,화,11:30:00,13:00:00
전선 > 데이터경영산업공학과,612504-01,3,안전관리,최재호,월,13:00:00,14:30:00
전선 > 데이터경영산업공학과,612504-01,3,안전관리,최재호,화,13:00:00,14:30:00
전선 > 데이터경영산업공학과,615021-01,3,스마트팩토리경영,김훈태,월,10:00:00,11:30:00
전선 > 데이터경영산업공학과,615021-01,3,스마트팩토리경영,김훈태,화,10:00:00,11:30:00
전선 > 데이터경영산업공학과,612107-01,3,공급사슬관리,김훈태,수,13:00:00,14:30:00
전선 > 데이터경영산업공학과,612107-01,3,공급사슬관리,김훈태,목,11:30:00,13:00:00
전선 > 데이터경영산업공학과,612506-01,3,빅데이터기업응용,신기태,수,10:00:00,11:30:00
전선 > 데이터경영산업공학과,612506-01,3,빅데이터기업응용,신기태,목,10:00:00,11:30:00
전선 > 데이터경영산업공학과,615014-01,3,기업분석실무,최재호,화,14:30:00,16:00:00
전선 > 데이터경영산업공학과,615014-01,3,기업분석실무,최재호,목,13:00:00,14:30:00
전선 > IT기계공학과,572002-01,3,정역학,김봉진,화,10:00:00,11:30:00
전선 > IT기계공학과,572002-01,3,정역학,김봉진,금,11:30:00,13:00:00
전선 > IT기계공학과,572500-01,3,IT기계공학입문,원현우,수,14:30:00,16:00:00
전선 > IT기계공학과,572500-01,3,IT기계공학입문,원현우,금,13:00:00,14:30:00
전선 > IT기계공학과,574005-01,3,3DCAD실습I,구본승,월,13:30:00,17:30:00
전선 > IT기계공학과,574005-02,3,3DCAD실습I,구본승,화,13:30:00,17:30:00
전선 > IT기계공학과,575005-01,3,C프로그래밍언어및실습,정규홍,목,09:30:00,13:30:00
전선 > IT기계공학과,575005-02,3,C프로그래밍언어및실습,정규홍,목,13:30:00,17:30:00
전선 > IT기계공학과,572006-01,3,고체역학II,원현우,월,14:30:00,16:00:00
전선 > IT기계공학과,572006-01,3,고체역학II,원현우,수,10:00:00,11:30:00
전선 > IT기계공학과,572025-01,3,동역학,정규홍,월,13:00:00,14:30:00
전선 > IT기계공학과,572025-01,3,동역학,정규홍,금,11:30:00,13:00:00
전선 > IT기계공학과,572027-01,3,기계공작법,권혁홍,월,09:30:00,11:00:00
전선 > IT기계공학과,572027-01,3,기계공작법,권혁홍,화,09:30:00,11:00:00
전선 > IT기계공학과,572057-01,3,유체역학,구본승,수,14:30:00,16:00:00
전선 > IT기계공학과,572057-01,3,유체역학,구본승,목,11:30:00,13:00:00
전선 > IT기계공학과,572066-01,3,공학수학II,김봉진,수,11:30:00,13:00:00
전선 > IT기계공학과,572066-01,3,공학수학II,김봉진,목,10:00:00,11:30:00
전선 > IT기계공학과,572100-01,3,기초전기이론및실습,정규홍,금,13:30:00,17:30:00
전선 > IT기계공학과,571012-01,2,열유체공학이론및실습,원현우,화,11:30:00,14:30:00
전선 > IT기계공학과,571012-02,2,열유체공학이론및실습,원현우,화,14:30:00,17:30:00
전선 > IT기계공학과,572068-01,3,에너지공학,원현우,월,13:30:00,14:30:00
전선 > IT기계공학과,572068-01,3,에너지공학,원현우,수,11:30:00,13:30:00
전선 > IT기계공학과,572501-01,3,취창업세미나(기계공학),김정수,월,09:30:00,12:30:00
전선 > IT기계공학과,574016-01,3,금형설계실무,권혁홍,목,09:30:00,11:00:00
전선 > IT기계공학과,574016-01,3,금형설계실무,권혁홍,금,09:30:00,11:00:00
전선 > IT기계공학과,572502-01,2,파이썬라이브러리프로그래밍,정규홍,수,11:30:00,14:30:00
전선 > IT기계공학과,575015-01,3,미래형스마트모빌리티,원현우,금,09:30:00,12:30:00
전선 > 전자공학과,525094-01,3,IT기초프로그래밍,최홍섭,목,13:00:00,14:30:00
전선 > 전자공학과,525094-01,3,IT기초프로그래밍,최홍섭,금,13:00:00,14:30:00
전선 > 전자공학과,525047-01,3,확률변수론,최홍섭,목,10:00:00,11:30:00
전선 > 전자공학과,525047-01,3,확률변수론,최홍섭,금,10:00:00,11:30:00
전선 > 전자공학과,525083-01,3,기초전자공학실험II,백경갑,금,13:30:00,17:30:00
전선 > 전자공학과,525084-01,3,전자기학개론,정목근,화,11:30:00,13:00:00
전선 > 전자공학과,525084-01,3,전자기학개론,정목근,금,11:30:00,13:00:00
전필 > 전자공학과,525087-01,3,반도체공학,백경갑,수,10:00:00,11:30:00
전필 > 전자공학과,525087-01,3,반도체공학,백경갑,목,15:00:00,16:30:00
전필 > 전자공학과,525055-01,3,신호및시스템,정목근,월,11:30:00,13:00:00
전필 > 전자공학과,525055-01,3,신호및시스템,정목근,목,11:30:00,13:00:00
전선 > 전자공학과,525057-01,3,수치해석,정목근,월,10:00:00,11:30:00
전선 > 전자공학과,525057-01,3,수치해석,정목근,화,10:00:00,11:30:00
전선 > 전자공학과,525058-01,3,전자회로II,백경갑,목,10:00:00,11:30:00
전선 > 전자공학과,525058-01,3,전자회로II,백경갑,금,10:00:00,11:30:00
전선 > 전자공학과,525059-01,3,아날로그회로실험및설계,여희주,월,13:30:00,17:30:00
전선 > 전자공학과,525061-01,3,공업교과논리및논술,한지영,목,17:30:00,20:05:00
전선 > 전자공학과,525062-01,3,마이크로프로세서응용,여희주,수,13:30:00,17:30:00
전선 > 전자공학과,525090-01,3,공업교과교재연구및지도법,한지영,목,14:30:00,17:30:00
전선 > 전자공학과,525092-01,3,캡스톤디자인(전자공학Ⅱ),백경갑,화,09:30:00,13:30:00
전선 > 신소재공학과,582026-01,3,부식및방식공학,안재우,월,10:00:00,11:30:00
전선 > 신소재공학과,582026-01,3,부식및방식공학,안재우,화,15:00:00,16:30:00
전선 > 신소재공학과,584007-01,3,정보디스플레이공학,주성후,화,09:30:00,12:30:00
전선 > 신소재공학과,584023-01,3,재료열역학,이명복,수,13:00:00,14:30:00
전선 > 신소재공학과,584023-01,3,재료열역학,이명복,목,13:00:00,14:30:00
전선 > 신소재공학과,585007-01,3,금속상변태,황승준,금,14:30:00,17:30:00
전선 > 신소재공학과,584034-01,3,박막제조공학실험,주성후,월,13:30:00,17:30:00
전선 > 신소재공학과,584037-01,3,반도체재료공학,이명복,수,10:00:00,11:30:00
전선 > 신소재공학과,584037-01,3,반도체재료공학,이명복,목,10:00:00,11:30:00
전선 > 신소재공학과,585011-01,3,캡스톤디자인(신소재Ⅰ),황승준,금,10:30:00,14:30:00
전선 > 신소재공학과,584035-01,3,습식재료공정실험,안재우,월,13:30:00,17:30:00
전선 > 신소재공학과,584036-01,3,차세대디스플레이,주성후,월,10:00:00,11:30:00
전선 > 신소재공학과,584036-01,3,차세대디스플레이,주성후,목,15:00:00,16:30:00
전선 > 건축학전공,542070-01,3,건축설계II,고영빈,월,13:30:00,17:30:00
전선 > 건축학전공,542070-02,3,건축설계II,문지선,월,13:30:00,17:30:00
전선 > 건축학전공,542093-01,3,서양건축사II,곽동엽,화,10:00:00,11:30:00
전선 > 건축학전공,542093-01,3,서양건축사II,곽동엽,수,11:30:00,13:00:00
전선 > 건축학전공,544006-01,3,건축의장및표현,윤희철,월,11:30:00,13:00:00
전선 > 건축학전공,544006-01,3,건축의장및표현,윤희철,수,14:30:00,16:00:00
전선 > 건축학전공,542022-01,3,건축법규,전병권,화,17:30:00,18:50:00
전선 > 건축학전공,542022-01,3,건축법규,전병권,수,17:30:00,18:50:00
전선 > 건축학전공,544017-01,3,지속가능주거학,나인혜,화,14:30:00,17:30:00
전선 > 건축학전공,544032-01,3,캡스톤디자인(건축설계Ⅳ-1),윤희철,수,09:30:00,13:30:00
전선 > 건축학전공,544032-02,3,캡스톤디자인(건축설계Ⅳ-1),전병권,화,10:30:00,14:30:00
전선 > 건축학전공,544033-01,3,캡스톤디자인(건축설계Ⅳ-2),윤희철,금,09:30:00,13:30:00
전선 > 건축학전공,544033-02,3,캡스톤디자인(건축설계Ⅳ-2),전병권,목,09:30:00,13:30:00
전선 > 건축학전공,544021-01,3,건축디테일,윤희철,목,13:30:00,16:30:00
전선 > 건축학전공,544023-01,3,도시의역사,나인혜,화,11:30:00,14:30:00
전선 > 건축학전공,544036-01,3,캡스톤디자인(종합건축설계Ⅱ-1),곽동엽,월,15:30:00,19:15:00
전선 > 건축학전공,544036-02,3,캡스톤디자인(종합건축설계Ⅱ-1),전병권,수,09:30:00,11:30:00
전선 > 건축학전공,544036-02,3,캡스톤디자인(종합건축설계Ⅱ-1),전병권,금,14:30:00,16:30:00
전선 > 건축학전공,544037-01,3,캡스톤디자인(종합건축설계Ⅱ-2),곽동엽,목,09:30:00,13:30:00
전선 > 건축학전공,544037-02,3,캡스톤디자인(종합건축설계Ⅱ-2),전병권,금,09:30:00,13:30:00
전선 > 스마트시티융합전공,547016-01,3,건축IT융합,건축강사2,화,09:30:00,13:30:00
전선 > 스마트시티융합전공,547005-01,3,스마트측량학,이혜진,목,13:30:00,17:30:00
전선 > 스마트시티융합전공,547017-01,3,BIM프로그래밍활용,건축강사2,화,13:30:00,17:30:00
전선 > 스마트시티융합전공,547010-01,3,건물에너지시뮬레이션,홍용석,화,13:30:00,17:30:00
전선 > 스마트시티융합전공,547011-01,3,스마트구조물관리,김성수,월,12:30:00,16:30:00
전선 > 스마트시티융합전공,547019-01,3,건축사업타당성평가실무,유상균,목,14:30:00,18:25:00
전선 > 스마트시티융합전공,547020-01,3,스마트지역계획론,백인길,월,16:30:00,17:30:00
전선 > 스마트시티융합전공,547020-01,3,스마트지역계획론,백인길,금,14:30:00,16:30:00
전선 > 스마트시티융합전공,547024-01,3,스마트모빌리티정책,배기목,화,14:30:00,16:30:00
전선 > 스마트시티융합전공,547024-01,3,스마트모빌리티정책,배기목,목,14:30:00,15:30:00
전필 > 스마트시티전공,660008-01,3,교통류특성과분석기법,김동선,월,10:00:00,11:30:00
전필 > 스마트시티전공,660008-01,3,교통류특성과분석기법,김동선,화,10:00:00,11:30:00
전선 > 스마트시티전공,660009-01,3,통합교통조사및프로젝트,배기목,화,11:30:00,13:00:00
전선 > 스마트시티전공,660009-01,3,통합교통조사및프로젝트,배기목,목,10:00:00,11:30:00
전선 > 스마트시티전공,660010-01,3,빅데이터기반도시부동산데이터분석,백인길,월,12:30:00,16:30:00
전선 > 스마트시티전공,660011-01,3,스마트시티토지이용계획,유상균,수,11:30:00,14:30:00
전필 > 스마트시티전공,660018-01,3,지속가능한도시설계,백인길,목,09:30:00,13:30:00
전선 > 스마트시티전공,660019-01,3,스마트교통안전,배기목,월,09:30:00,12:30:00
전선 > 스마트시티전공,660021-01,3,스마트시티부동산경제론,스마강사9,수,11:30:00,14:30:00
